alpha,lambda,beta,gamma,miu,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1000.00000000,1000.00000000,0.05000000,0.10000000,0.00050000,0.938095,0.870276,0.938095,0.876430,0.872437,0.880460,0.856416,0.366940
 , , , , ,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
